name,category,location,floor,google_maps_search_url,new_google_maps_image_url,notes
Ipudo,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Ipudo%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/IPPUDO+IconSiam+%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87+R608+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%996+%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7262647,100.5101609,3876a,13.1y/data=!4m2!3m1!1s0x30e299d86b441a99:0x33f103e1d29ce47c",ชื่อที่พบ: IPPUDO IconSiam
Jae Daeng Samyan,อาหารไทย,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Jae%20Daeng%20Samyan%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B9%81%E0%B8%94%E0%B8%87+%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%99+(%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1)+299+ICONSIAM+%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88+CGF03%2FA01,02+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99+G+%E0%B9%82%E0%B8%8B%E0%B8%99%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1,+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7264086,100.5095682,3876a,13.1y/data=!4m2!3m1!1s0x30e2991f2cf5432f:0x16116fc35c55e62c",ชื่อที่พบ: เจ๊แดง สามย่าน (ไอคอนสยาม)
Kamu Hokkaido Dining,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Kamu%20Hokkaido%20Dining%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/Kamui+Hokkaido+Dining+@Rose+Dining+Siam+Takashimaya,+Iconsiam+ICONSIAM+4Floor+299+%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1,+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7267418,100.509633,3876a,13.1y/data=!4m2!3m1!1s0x30e299d1b27e47d3:0xb6253e9140e542f1",ชื่อที่พบ: Kamui Hokkaido Dining
Katei Thai Boat Noodles,อาหารไทย,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Katei%20Thai%20Boat%20Noodles%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/%E0%B9%80%E0%B8%81%E0%B8%A8%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7+%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B9%80%E0%B8%A3%E0%B8%B7%E0%B8%AD+%E2%80%93+%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99+6+(Kate+Teaw+Boat+Noodles+ICONSIAM)+299+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7262171,100.5106291,3876a,13.1y/data=!4m2!3m1!1s0x30e2998f2e7e2163:0x4e17397298cc4999",ชื่อที่พบ: เกศเตี๋ยว / Kate Teaw Boat Noodles ICONSIAM ชั้น 6
Katsukura,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Katsukura%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99+4+%E0%B8%84%E0%B8%B1%E0%B8%95%E0%B8%AA%E0%B8%B6%E0%B8%84%E0%B8%B8%E0%B8%A3%E0%B8%B0+(%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1)+%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+299+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%A5%E0%B8%B3%E0%B8%A0%E0%B8%B9%E0%B8%A5%E0%B9%88%E0%B8%B2%E0%B8%87+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7264814,100.509947,3876a,13.1y/data=!4m2!3m1!1s0x30e299e7c76f00fb:0x27c3bff3ea764286",พบ Google Maps สาขา GF
Khao Soi Lam Duan Fa Ham,อาหารไทย,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Khao%20Soi%20Lam%20Duan%20Fa%20Ham%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/Khao+Soi+Lamduan,+Icon,+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.726498,100.5100807,3876a,13.1y/data=!4m2!3m1!1s0x30e299e2d4d8bd1f:0x7d5e460247d5e4a7",ชื่อที่พบ: Khao Soi Lamduan
Khao-Sō-i,อาหารไทย,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Khao-S%C5%8D-i%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%82%E0%B8%8B%E0%B8%AD%E0%B8%B4+KHAO-SO-i+ICONSIAM,+%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1,+%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87+G13,+VUG13+%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88299+%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3,+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3,+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7265574,100.5110809,3876a,13.1y/data=!4m2!3m1!1s0x30e2996790182fe1:0x54fe8df8f6a6072c",พบ Google Maps สาขา GF
Kissyan,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Kissyan%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/Kissyan,+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7272798,100.5098668,3876a,13.1y/data=!4m2!3m1!1s0x30e299d6c6b2247b:0xf3d77550c511553f",พบ Google Maps สาขา GF
Kyo Roll En,ขนมหวาน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Kyo%20Roll%20En%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Kyoto Uji Saryo,ขนมหวาน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Kyoto%20Uji%20Saryo%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B9%82%E0%B8%95+%E0%B8%AD%E0%B8%B8%E0%B8%88%E0%B8%B4+%E0%B8%8B%E0%B8%B2%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%A7+Siam+Takashimaya+-+ICONSIAM+Shopping+Center,+Unit+G10,+G+Floor+299+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7272502,100.5096959,3876a,13.1y/data=!4m2!3m1!1s0x30e299611375919f:0x6bff8307a1b7eadb",พบ Google Maps สาขา GF
Laem Charoen Seafood,อาหารไทย,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Laem%20Charoen%20Seafood%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/Room+514+5th+floor,+%E0%B9%81%E0%B8%AB%E0%B8%A5%E0%B8%A1%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%8B%E0%B8%B5%E0%B8%9F%E0%B8%B9%E0%B9%89%E0%B8%94+%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+ICONSIAM+Building,+299%2F2+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7266319,100.510866,3876a,13.1y/data=!4m2!3m1!1s0x30e299df80fda833:0x732a461483595e51",พบ Google Maps สาขา GF
Leng Saab by Zaab Eli,อาหารไทย,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Leng%20Saab%20by%20Zaab%20Eli%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/Leng+Zab+by+Yai+Gee+ICONSIAM+%E0%B9%80%E0%B8%A5%E0%B9%89%E0%B8%87%E0%B9%81%E0%B8%8B%E0%B9%88%E0%B8%9A+by+%E0%B8%A2%E0%B8%B2%E0%B8%A2%E0%B8%88%E0%B8%B5%E0%B9%88+ICONSIAM+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99+G+%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+%E0%B9%82%E0%B8%8B%E0%B8%99+%E0%B8%A0%E0%B8%B2%E0%B8%84%E0%B8%AD%E0%B8%B5%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7262186,100.5104528,3876a,13.1y/data=!4m2!3m1!1s0x30e299a68c61f90b:0xa9beddc15d1e2b2d",ชื่อที่พบ: Leng Zab by Yai Gee ICONSIAM
Maneki Dining,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Maneki%20Dining%20ICONSIAM%20Bangkok%20Thailand,https://www.wongnai.com/restaurants/390524AE-maneki-dining-siam-takashimaya-g-floor-in-iconsiam,ไม่พบ Google Maps; ใช้หน้าร้าน Wongnai ที่ระบุ Siam Takashimaya/ICONSIAM
Masa-Otari,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Masa-Otari%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/MASA+-+Otaru+Masazushi+ICONSIAM+%E0%B8%9D%E0%B8%B1%E0%B9%88%E0%B8%87+SIAM+TAKASHIMAYA+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%994+%E0%B9%82%E0%B8%8B%E0%B8%99+Rosedining+299+%E0%B8%8B%E0%B8%AD%E0%B8%A2+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+5+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7266325,100.5101514,3876a,13.1y/data=!4m2!3m1!1s0x30e299e11f37e86d:0xa7fd60acbac46da5",ชื่อที่พบ: MASA - Otaru Masazushi
MK Bao Mallang,อาหารจีน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=MK%20Bao%20Mallang%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
MK Live,อาหารจีน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=MK%20Live%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/FL.5,+%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3+%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1%E0%B9%80%E0%B8%84+%E0%B9%84%E0%B8%A5%E0%B8%9F%E0%B9%8C+%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7268136,100.5105414,3876a,13.1y/data=!4m2!3m1!1s0x30e2991884cc6369:0x2f97ef487bad6e95",พบ Google Maps สาขา GF
MT Toast House,ขนมหวาน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=MT%20Toast%20House%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/Mil+Toast+House+%EB%B0%80%ED%86%A0%EC%8A%A4%ED%8A%B8%EC%A7%91+-+ICONSIAM+%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88+299+%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88+602+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99+6+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7262646,100.5103789,3876a,13.1y/data=!4m2!3m1!1s0x30e2997a55c05391:0x80ffbaee2f59d90c",ชื่อที่พบ: Mil Toast House ICONSIAM
Muffin,เบเกอรี่,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Muffin%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Nippon Japanese Restaurant,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Nippon%20Japanese%20Restaurant%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/Nippon+Kai+Market+%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+299+%E0%B8%8B%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+5+%E0%B8%96%E0%B8%99%E0%B8%99+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99+g+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7276518,100.5110206,3876a,13.1y/data=!4m2!3m1!1s0x30e2990cedc0eb5b:0x7e6ae0d8608a5c8e",ชื่อที่พบ: Nippon Kai Market
Omi by Teppan,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Omi%20by%20Teppan%20ICONSIAM%20Bangkok%20Thailand,https://teppenthailand.co.th/branch/omakase-don-by-teppen/,ไม่พบ Google Maps; ชื่อที่พบ: Omakase Don by Teppen (เว็บไซต์ทางการระบุ ICONSIAM ชั้น G)
One to Two,เครื่องดื่ม,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=One%20to%20Two%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/1:2+Coffee+-+Iconsiam+%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88+K411-K412+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%994+%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88299+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7263162,100.5100498,3876a,13.1y/data=!4m2!3m1!1s0x30e2991849e4b079:0xbe409d4b1c414cd6",ชื่อที่พบ: 1:2 Coffee - Iconsiam
Pun Rukrea,เครื่องดื่ม,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Pun%20Rukrea%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
